"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1","China","USA","foundation","Orsted","Scotland","vessel","cable","turbine","training","Wales","wave","grid","vessel","report","company","survey","design","Vattenfall"
"2","%","BOEM","installation","farm","Research","crane","voltage","blade","safety","consultation","device","power","crew","energy","port","ROV","cost","tender"
"3","market","New","monopile","Beatrice","funding","Damen","substation","Vestas","course","Ofgem","datum","electricity","CTV","industry","business","AUV","GL","Netherlands"
"4","Taiwan","state","jacket","walney_extension","student","deck","platform","France","career","OFTO","measurement","transmission","transfer","policy","service","subsea","DNV","OWF"
"5","capacity","lease","pile","SGRE","opportunity","Ulstein","km","MW","fire","RWE","system","energy","boat","cost","market","system","turbine","Borssele"
"6","share","Massachusetts","tp","Hornsea_Project_One","sector","gangway","connection","nacelle","standard","Carnegie","buoy","ABB","CWind","study","Port","inspection","technology","farm"
"7","Gamesa","DOE","farm","Statoil","Energy","accommodation","submarine","tower","Safety","CETO","lidar","Germany","technician","UK","customer","Fugro","certification","Denmark"
"8","India","Wind","GeoSea","UK","industry","DP","kv","SGRE","health","bidder","speed","network","passenger","carbon","facility","seabed","blade","bid"
"9","Power","bird","De","Moray","technology","ship","Prysmian","MHI","Maersk","round","mast","Norway","catamaran","scenario","Group","Subsea","concept","zone"
"10","GW","Deepwater","Nul","Dudgeon","programme","walk","converter_station","GE","maritime","Tidal","model","connection","charter","EU","office","solution","testing","Kriegers_Flak"
"11","EUR","Atlantic","Jan","Farm","marine_energy","m","Nexans","V164","management","consent","generator","TenneT","fleet","target","oil","cable","OWA","Baltic"
"12","power","York","jacket_foundation","Galloper","development","Areva","transformer","Saint","worker","Limited","test","HVDC","craft","potential","terminal","monitoring","reliability","Iceni"
"13","year","Maine","Borkum","VBMS","energy","t","submarine_cable","WindFloat","GWO","EIB","power","converter","Seacat","gas","product","vehicle","gearbox","subsidy"
"14","forecast","New_Jersey","DEME","EOWDC","UK","Adwen","grid","rotor_diameter","skill","licence","temperature","integration","workboat","issue","CEO","repair","test","Eneco"
"15","price","Cape","topside","contract","University","lift","HVDC","prototype","technician","Capital","flow","system","engine","conference","logistic","drone","solution","DEA"
"16","quarter","Maryland","Fred","coast","Minister","jack","cable_system","Haliade","HSE","crown_estate","ZephIR","interconnection","Marine","renewable","industry","communication","performance","Germany"
"17","revenue","Center","steel","Statkraft","innovation","FCS","TenneT","REpower","emergency","UK","machine","storage","Dalby","analysis","division","OMM","component","deadline"
"18","country","Virginia","Merkur","A2SEA","job","hull","JDR","EDF","SeaPlanner","Bay","performance","technology","ship","framework","gas","UXO","ETI","AMSC"
"19","government","mile","turbine","construction","wave","Esvagt","subsea_cable","Denmark","rescue","regime","condition","EC","Boats","climate_change","employee","equipment","carbon_trust","Gemini"
"20","Asia","State","Wikinger","Rampion","tidal_energy","VOS","route","LM_Wind_Power","incident","Green","bearing","country","knot","challenge","acquisition","coating","drive","Vesterhav"
