"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1","crane","pile","survey","Taiwan","China","TenneT","port","Scotland","cable","training","generator",";"
"2","service_operation_vessel","monopile","inspection","tidal_energy","lidar","german","Port","float","gearbox","student","converter","2010"
"3","fleet","jacket","bird","Vestas","India","substation","Maine","wave_energy","blade","course","BOEM","2011"
"4","accommodation","transition_piece","buoy","device","measurement","grid_connection","helicopter","Ireland","Gamesa","career","Virginia","source"
"5","Damen","van_oord","sensor","ORE_Catapult","Wind","EUR","CWind","France","DONG_Energy","College","temperature","MW"
"6","crew_transfer_vessel","installation_vessel","Fugro","marine_energy","Ofgem","HVDC","Safety","scottish","export_cable","Centre","simulation","October"
"7","charter","jacket_foundation","radar","Narec","GW","Statoil","Vattenfall","floating_wind","Nexans","education","storage","July"
"8","cargo","topside","geotechnical","tidal_turbine","forecast","ABB","EOWDC","Maryland","JDR","Hull","battery","€"
"9","deck","GeoSea","investigation","EMEC","chinese","tender","operation_and_maintenance","Japan","cable_installation","school","SeaPlanner","June"
"10","hull","steel","specie","Orkney","wind_speed","interconnector","rescue","Carnegie","Cable","Global_Wind_Organisation","rotor_blade","August"
"11","gangway","Galloper","software","Alstom","met_mast","danish","health","new_york","trench","Humber","°","cent"
"12","lift","port","UXO","block_island","installed_capacity","Statkraft","Services","ocean_energy","subsea","Training","extreme","EWEA"
"13","passenger","Port","ROV","Nova_Scotia","OWA","converter_station","incident","floating_wind_turbine","lay","attend","electric","Gwynt_y_Môr"
"14","catamaran","E.ON","noise","rhode_island","ECN","cable","meeting","french","burial","GBP","cold","September"
"15","boat","barge","habitat","Massachusetts","carbon_trust","Siemens","GMS","WindFloat","nacelle","graduate","coating","28"
"16","engine","Beatrice","underwater","blade","mast","Kriegers_Flak","Wind","OPT","Siemens","Skills","cool","May"
"17","Ulstein","offshore_substation","marine_mammal","tidal_power","OFTO","kv","Center","Portugal","rotor","apprenticeship","heat","conference"
"18","knot","fabrication","fish","tidal_lagoon","Market","Fred","New_Jersey","floating_wind_farm","Tekmar","Grimsby","software","quarter"
"19","workboat","Eemshaven","measurement","test_site","Walney","national_grid","warranty","Scottish_Government","trenching","delegate","communication","deadline"
"20","t","monopile_foundation","turbulence","Blyth","LiDAR","triton_knoll","Maritime","DCNS","VBMS","School","scenario","AMSC"
